Date,heart
2018-09-25 22:23:52,64
2018-09-25 22:23:57,66
2018-09-25 22:24:12,67
2018-09-25 22:24:17,66
2018-09-25 22:24:27,67
2018-09-25 22:24:37,66
2018-09-25 22:24:42,68
2018-09-25 22:24:52,67
2018-09-25 22:24:57,68
2018-09-25 22:25:02,67
2018-09-25 22:25:07,66
2018-09-25 22:25:12,67
2018-09-25 22:25:22,64
2018-09-25 22:25:27,65
2018-09-25 22:25:37,67
2018-09-25 22:25:52,66
2018-09-25 22:25:57,65
2018-09-25 22:26:02,66
2018-09-25 22:26:12,77
2018-09-25 22:26:17,94
2018-09-25 22:26:22,86
2018-09-25 22:26:27,83
2018-09-25 22:26:37,75
2018-09-25 22:26:44,65
2018-09-25 22:26:59,64
2018-09-25 22:27:09,63
2018-09-25 22:27:14,65
2018-09-25 22:27:24,64
2018-09-25 22:27:29,65
2018-09-25 22:27:34,66
2018-09-25 22:27:39,72
2018-09-25 22:27:44,74
2018-09-25 22:27:49,67
2018-09-25 22:27:54,66
2018-09-25 22:27:59,64
2018-09-25 22:28:04,65
2018-09-25 22:28:09,64
2018-09-25 22:28:14,66
2018-09-25 22:28:24,64
2018-09-25 22:28:29,65
2018-09-25 22:28:39,67
2018-09-25 22:28:44,68
2018-09-25 22:28:54,67
2018-09-25 22:29:04,68
2018-09-25 22:29:14,66
2018-09-25 22:29:19,67
2018-09-25 22:29:24,65
2018-09-25 22:29:34,66
2018-09-25 22:29:39,65
2018-09-25 22:29:44,66
2018-09-25 22:29:51,67
2018-09-25 22:29:56,66
2018-09-25 22:30:06,68
2018-09-25 22:30:16,66
2018-09-25 22:30:21,67
2018-09-25 22:30:26,65
2018-09-25 22:30:31,65
2018-09-25 22:30:36,66
2018-09-25 22:30:41,68
2018-09-25 22:30:51,66
2018-09-25 22:30:56,65
2018-09-25 22:31:01,64
2018-09-25 22:31:06,66
2018-09-25 22:31:11,65
2018-09-25 22:31:21,66
2018-09-25 22:31:26,67
2018-09-25 22:31:36,66
2018-09-25 22:31:46,67
2018-09-25 22:31:51,66
2018-09-25 22:31:56,65
2018-09-25 22:32:01,66
2018-09-25 22:32:06,65
2018-09-25 22:32:11,67
2018-09-25 22:32:26,66
2018-09-25 22:32:36,67
2018-09-25 22:32:41,66
2018-09-25 22:32:51,67
2018-09-25 22:32:57,66
2018-09-25 22:33:07,67
2018-09-25 22:33:12,66
2018-09-25 22:33:27,66
2018-09-25 22:33:32,67
2018-09-25 22:33:37,67
2018-09-25 22:33:42,68
2018-09-25 22:33:47,69
2018-09-25 22:33:52,68
2018-09-25 22:34:07,66
2018-09-25 22:34:12,68
2018-09-25 22:34:27,65
2018-09-25 22:34:32,66
2018-09-25 22:34:37,67
2018-09-25 22:34:47,66
2018-09-25 22:34:52,66
2018-09-25 22:34:57,69
2018-09-25 22:35:02,74
2018-09-25 22:35:07,70
2018-09-25 22:35:12,68
2018-09-25 22:35:17,67
2018-09-25 22:35:22,67
2018-09-25 22:35:27,67
2018-09-25 22:35:32,68
2018-09-25 22:35:42,69
2018-09-25 22:35:47,68
2018-09-25 22:35:57,67
2018-09-25 22:36:04,65
2018-09-25 22:36:14,68
2018-09-25 22:36:19,66
2018-09-25 22:36:34,68
2018-09-25 22:36:44,65
2018-09-25 22:36:49,65
2018-09-25 22:36:54,67
2018-09-25 22:36:59,65
2018-09-25 22:37:04,66
2018-09-25 22:37:14,67
2018-09-25 22:37:19,68
2018-09-25 22:37:24,66
2018-09-25 22:37:29,66
2018-09-25 22:37:39,67
2018-09-25 22:37:49,93
2018-09-25 22:37:54,95
2018-09-25 22:37:59,94
2018-09-25 22:38:04,91
2018-09-25 22:38:09,76
2018-09-25 22:38:19,76
2018-09-25 22:38:24,77
2018-09-25 22:38:29,70
2018-09-25 22:38:34,67
2018-09-25 22:38:40,67
2018-09-25 22:38:45,66
2018-09-25 22:38:50,63
2018-09-25 22:39:00,62
2018-09-25 22:39:05,64
2018-09-25 22:39:10,67
2018-09-25 22:39:15,67
2018-09-25 22:39:20,68
2018-09-25 22:39:25,69
2018-09-25 22:39:30,66
2018-09-25 22:39:35,65
2018-09-25 22:39:40,66
2018-09-25 22:39:55,67
2018-09-25 22:40:05,68
2018-09-25 22:40:10,69
2018-09-25 22:40:20,70
2018-09-25 22:40:25,68
2018-09-25 22:40:30,66
2018-09-25 22:40:35,67
2018-09-25 22:40:40,68
2018-09-25 22:40:50,69
2018-09-25 22:41:05,70
2018-09-25 22:41:10,66
2018-09-25 22:41:15,68
2018-09-25 22:41:20,70
2018-09-25 22:41:25,69
2018-09-25 22:41:30,70
2018-09-25 22:41:37,68
2018-09-25 22:41:42,69
2018-09-25 22:41:47,70
2018-09-25 22:42:02,70
2018-09-25 22:42:07,69
2018-09-25 22:42:12,70
2018-09-25 22:42:17,69
2018-09-25 22:42:22,70
2018-09-25 22:42:27,71
2018-09-25 22:42:42,71
2018-09-25 22:42:47,72
2018-09-25 22:42:52,71
2018-09-25 22:42:57,71
2018-09-25 22:43:02,72
2018-09-25 22:43:07,71
2018-09-25 22:43:12,72
2018-09-25 22:43:17,70
2018-09-25 22:43:22,71
2018-09-25 22:43:27,74
2018-09-25 22:43:37,75
2018-09-25 22:43:42,74
2018-09-25 22:43:47,72
2018-09-25 22:44:02,71
2018-09-25 22:44:07,72
2018-09-25 22:44:12,71
2018-09-25 22:44:22,72
2018-09-25 22:44:27,72
2018-09-25 22:44:33,72
2018-09-25 22:44:38,71
2018-09-25 22:44:53,71
2018-09-25 22:44:58,69
2018-09-25 22:45:08,70
2018-09-25 22:45:23,69
2018-09-25 22:45:38,70
2018-09-25 22:45:53,70
2018-09-25 22:45:58,71
2018-09-25 22:46:13,70
2018-09-25 22:46:18,70
2018-09-25 22:46:23,70
2018-09-25 22:46:28,71
2018-09-25 22:46:33,70
2018-09-25 22:46:38,73
2018-09-25 22:46:43,70
2018-09-25 22:46:48,66
2018-09-25 22:46:53,67
2018-09-25 22:46:58,69
2018-09-25 22:47:03,70
2018-09-25 22:47:08,71
2018-09-25 22:47:13,69
2018-09-25 22:47:18,70
2018-09-25 22:47:23,69
2018-09-25 22:47:33,70
2018-09-25 22:47:38,69
2018-09-25 22:47:53,70
2018-09-25 22:47:55,70
2018-09-25 22:48:00,71
2018-09-25 22:48:10,72
2018-09-25 22:48:15,70
2018-09-25 22:48:20,71
2018-09-25 22:48:25,73
2018-09-25 22:48:30,72
2018-09-25 22:48:35,70
2018-09-25 22:48:40,69
2018-09-25 22:48:45,70
2018-09-25 22:48:50,69
2018-09-25 22:49:05,70
2018-09-25 22:49:20,70
2018-09-25 22:49:30,71
2018-09-25 22:49:45,70
2018-09-25 22:50:00,70
2018-09-25 22:50:05,71
2018-09-25 22:50:15,70
2018-09-25 22:50:25,69
2018-09-25 22:50:40,69
2018-09-25 22:50:45,70
2018-09-25 22:50:50,71
2018-09-25 22:50:55,69
2018-09-25 22:51:00,70
2018-09-25 22:51:15,71
2018-09-25 22:51:25,70
2018-09-25 22:51:30,72
2018-09-25 22:51:37,68
2018-09-25 22:51:52,68
2018-09-25 22:51:57,70
2018-09-25 22:52:02,71
2018-09-25 22:52:07,73
2018-09-25 22:52:17,72
2018-09-25 22:52:22,71
2018-09-25 22:52:27,73
2018-09-25 22:52:32,71
2018-09-25 22:52:37,70
2018-09-25 22:52:42,68
2018-09-25 22:52:47,67
2018-09-25 22:52:57,69
2018-09-25 22:53:07,70
2018-09-25 22:53:12,69
2018-09-25 22:53:17,70
2018-09-25 22:53:22,69
2018-09-25 22:53:37,69
2018-09-25 22:53:42,70
2018-09-25 22:53:47,71
2018-09-25 22:53:52,70
2018-09-25 22:54:07,70
2018-09-25 22:54:12,69
2018-09-25 22:54:22,69
2018-09-25 22:54:27,69
2018-09-25 22:54:32,70
2018-09-25 22:54:42,69
2018-09-25 22:54:49,67
2018-09-25 22:54:54,65
2018-09-25 22:54:59,66
2018-09-25 22:55:04,67
2018-09-25 22:55:09,68
2018-09-25 22:55:14,67
2018-09-25 22:55:19,66
2018-09-25 22:55:24,68
2018-09-25 22:55:29,66
2018-09-25 22:55:39,68
2018-09-25 22:55:44,68
2018-09-25 22:55:49,68
2018-09-25 22:55:59,70
2018-09-25 22:56:04,71
2018-09-25 22:56:09,72
2018-09-25 22:56:19,70
2018-09-25 22:56:24,69
2018-09-25 22:56:29,72
2018-09-25 22:56:34,68
2018-09-25 22:56:44,67
2018-09-25 22:56:49,66
2018-09-25 22:56:54,68
2018-09-25 22:56:59,69
2018-09-25 22:57:04,68
2018-09-25 22:57:09,69
2018-09-25 22:57:14,68
2018-09-25 22:57:24,68
2018-09-25 22:57:30,68
2018-09-25 22:57:35,68
2018-09-25 22:57:40,68
2018-09-25 22:57:45,67
2018-09-25 22:57:50,67
2018-09-25 22:57:55,68
2018-09-25 22:58:00,66
2018-09-25 22:58:10,67
2018-09-25 22:58:25,67
2018-09-25 22:58:40,67
2018-09-25 22:58:45,68
2018-09-25 22:58:55,69
2018-09-25 22:59:00,68
2018-09-25 22:59:05,65
2018-09-25 22:59:10,66
2018-09-25 22:59:15,65
2018-09-25 22:59:20,66
2018-09-25 22:59:25,67
2018-09-25 22:59:30,68
2018-09-25 22:59:45,66
2018-09-25 22:59:50,67
2018-09-25 22:59:55,67
2018-09-25 23:00:00,67
2018-09-25 23:00:10,68
2018-09-25 23:00:15,65
2018-09-25 23:00:30,66
2018-09-25 23:00:35,65
2018-09-25 23:00:42,65
2018-09-25 23:00:47,66
2018-09-25 23:01:02,68
2018-09-25 23:01:07,69
2018-09-25 23:01:12,68
2018-09-25 23:01:27,68
2018-09-25 23:01:32,66
2018-09-25 23:01:37,66
2018-09-25 23:01:42,66
2018-09-25 23:01:47,65
2018-09-25 23:01:52,65
2018-09-25 23:01:57,66
2018-09-25 23:02:02,66
2018-09-25 23:02:07,64
2018-09-25 23:02:12,66
2018-09-25 23:02:17,68
2018-09-25 23:02:22,66
2018-09-25 23:02:32,66
2018-09-25 23:02:37,66
2018-09-25 23:02:42,65
2018-09-25 23:02:47,66
2018-09-25 23:02:52,67
2018-09-25 23:02:57,66
2018-09-25 23:03:02,65
2018-09-25 23:03:12,66
2018-09-25 23:03:17,67
2018-09-25 23:03:22,66
2018-09-25 23:03:29,67
2018-09-25 23:03:39,68
2018-09-25 23:03:54,68
2018-09-25 23:03:59,67
2018-09-25 23:04:04,66
2018-09-25 23:04:14,66
2018-09-25 23:04:19,67
2018-09-25 23:04:34,66
2018-09-25 23:04:39,67
2018-09-25 23:04:54,66
2018-09-25 23:05:04,67
2018-09-25 23:05:09,68
2018-09-25 23:05:19,67
2018-09-25 23:05:29,68
2018-09-25 23:05:39,66
2018-09-25 23:05:49,68
2018-09-25 23:05:54,69
2018-09-25 23:05:59,68
2018-09-25 23:06:04,69
2018-09-25 23:06:09,68
2018-09-25 23:06:14,68
2018-09-25 23:06:19,68
2018-09-25 23:06:24,67
2018-09-25 23:06:39,68
2018-09-25 23:06:44,69
2018-09-25 23:06:49,68
2018-09-25 23:06:54,67
2018-09-25 23:07:01,67
2018-09-25 23:07:06,68
2018-09-25 23:07:11,65
2018-09-25 23:07:16,64
2018-09-25 23:07:21,65
2018-09-25 23:07:31,65
2018-09-25 23:07:36,66
2018-09-25 23:07:41,67
2018-09-25 23:07:46,67
2018-09-25 23:07:51,68
2018-09-25 23:07:56,67
2018-09-25 23:08:01,66
2018-09-25 23:08:06,67
2018-09-25 23:08:11,66
2018-09-25 23:08:16,65
2018-09-25 23:08:21,67
2018-09-25 23:08:26,66
2018-09-25 23:08:31,67
2018-09-25 23:08:41,66
2018-09-25 23:08:46,67
2018-09-25 23:08:51,65
2018-09-25 23:08:56,66
2018-09-25 23:09:11,66
2018-09-25 23:09:16,65
2018-09-25 23:09:31,65
2018-09-25 23:09:36,66
2018-09-25 23:09:41,66
2018-09-25 23:09:47,66
2018-09-25 23:10:02,65
2018-09-25 23:10:07,66
2018-09-25 23:10:22,67
2018-09-25 23:10:27,66
2018-09-25 23:10:42,65
2018-09-25 23:10:52,66
2018-09-25 23:10:57,68
2018-09-25 23:11:02,68
2018-09-25 23:11:07,67
2018-09-25 23:11:22,66
2018-09-25 23:11:37,66
2018-09-25 23:11:52,65
2018-09-25 23:12:07,66
2018-09-25 23:12:22,67
2018-09-25 23:12:27,66
2018-09-25 23:12:37,67
2018-09-25 23:12:42,67
2018-09-25 23:12:47,63
2018-09-25 23:12:52,64
2018-09-25 23:13:02,65
2018-09-25 23:13:17,65
2018-09-25 23:13:22,66
2018-09-25 23:13:32,64
2018-09-25 23:13:42,65
2018-09-25 23:13:47,66
2018-09-25 23:13:52,69
2018-09-25 23:13:59,71
2018-09-25 23:14:04,69
2018-09-25 23:14:09,67
2018-09-25 23:14:24,68
2018-09-25 23:14:29,69
2018-09-25 23:14:34,68
2018-09-25 23:14:39,69
2018-09-25 23:14:49,68
2018-09-25 23:14:54,67
2018-09-25 23:14:59,65
2018-09-25 23:15:04,66
2018-09-25 23:15:19,67
2018-09-25 23:15:24,66
2018-09-25 23:15:34,67
2018-09-25 23:15:49,66
2018-09-25 23:15:54,65
2018-09-25 23:16:09,65
2018-09-25 23:16:14,66
2018-09-25 23:16:24,67
2018-09-25 23:16:29,66
2018-09-25 23:16:34,64
2018-09-25 23:16:39,65
2018-09-25 23:16:44,66
2018-09-25 23:16:59,66
2018-09-25 23:17:04,65
2018-09-25 23:17:19,64
2018-09-25 23:17:24,65
2018-09-25 23:17:31,66
2018-09-25 23:17:36,65
2018-09-25 23:17:46,64
2018-09-25 23:17:51,65
2018-09-25 23:17:56,66
2018-09-25 23:18:01,64
2018-09-25 23:18:06,65
2018-09-25 23:18:11,64
2018-09-25 23:18:16,66
2018-09-25 23:18:26,65
2018-09-25 23:18:31,66
2018-09-25 23:18:36,65
2018-09-25 23:18:41,66
2018-09-25 23:18:46,67
2018-09-25 23:18:51,65
2018-09-25 23:18:56,66
2018-09-25 23:19:01,65
2018-09-25 23:19:16,65
2018-09-25 23:19:26,66
2018-09-25 23:19:31,65
2018-09-25 23:19:41,64
2018-09-25 23:19:46,65
2018-09-25 23:19:56,66
2018-09-25 23:20:01,65
2018-09-25 23:20:11,66
2018-09-25 23:20:16,65
2018-09-25 23:20:21,64
2018-09-25 23:20:28,64
2018-09-25 23:20:33,65
2018-09-25 23:20:38,64
2018-09-25 23:20:48,65
2018-09-25 23:20:53,66
2018-09-25 23:21:03,64
2018-09-25 23:21:13,65
2018-09-25 23:21:18,67
2018-09-25 23:21:23,65
2018-09-25 23:21:28,64
2018-09-25 23:21:43,64
2018-09-25 23:21:48,65
2018-09-25 23:21:53,66
2018-09-25 23:22:08,66
2018-09-25 23:22:13,65
2018-09-25 23:22:28,64
2018-09-25 23:22:33,65
2018-09-25 23:22:38,63
2018-09-25 23:22:43,62
2018-09-25 23:22:48,64
2018-09-25 23:22:58,65
2018-09-25 23:23:08,64
2018-09-25 23:23:23,64
